name,category,severity,priority,risk_score,base_severity,cvss_component,exploitability,class_modifier,exposure_score,compliance_score,category_weight,finding_class,state,resource_name,resource_display_name,project_id,project_display_name,cve_id,cvss_score,observed_in_wild,zero_day,public_ip,compliance_frameworks,compliance_violations,event_time,create_time,description,remediation_script_lang,remediation_script
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-24531,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-15467,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-3711,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-29404,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-29405,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-3711,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-24540,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-32207,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-27404,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-27404,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2024-24790,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-38297,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-32207,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-32207,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-37434,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-15467,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-3711,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-27404,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-3711,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-24538,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-29402,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-23218,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-15467,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-33574,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-37434,9.8,false,false,false,,,,,,,
,,LOW,LOW,34.72,10,29.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-23219,9.8,false,false,false,,,,,,,
,,LOW,LOW,33.04,10,27.30,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-22871,9.1,false,false,false,,,,,,,
